PDQ,NO_CIV_LIE,PREFIX_TEM,NOM_TEMP,DIR_TEMP,MUN_TEMP,LATITUDE,LONGITUDE
1,2883,BOUL,ST-CHARLES,,KIR,45.4473000001,-73.8523000004
3,14680,BOUL,PIERREFONDS DE,,PRF,45.4860999994,-73.8572000004
4,4139,BOUL,SOURCES DES,,DDO,45.4944000002,-73.8073000005
5,395,BOUL,ST-JEAN,,PCL,45.4478999991,-73.8158999998
7,1761,RUE,GRENET,,VSL,45.5184000004,-73.6967000002
8,170,AVEN,15E,,LAC,45.4343999997,-73.6771
9,5501,AVEN,WESTMINSTER,,CSL,45.4597999994,-73.6621000003
10,11756,BOUL,O'BRIEN,,MTL,45.5285,-73.7010000004
12,21,RUE,STANTON,,WES,45.4864000008,-73.5987
13,8745,BOUL,LASALLE,,LAS,45.4155000001,-73.6217
15,1625,AVEN,EGLISE DE L',,MTL,45.4637000002,-73.585
16,750,RUE,WILLIBRORD,,VER,45.4592000004,-73.5733000003
20,1432,RUE,STE-CATHERINE,O,MTL,45.4960999992,-73.5765000004
21,1669,RUE,BERRI,,MTL,45.5164999999,-73.5630999999
22,1200,AVEN,PAPINEAU,,MTL,45.5217000004,-73.551
23,4555,RUE,HOCHELAGA,,MTL,45.5569000002,-73.5459000003
26,7405,AVEN,MOUNTAIN-SIGHTS,,MTL,45.4960999992,-73.6516000004
27,1805,RUE,FLEURY,E,MTL,45.5686000008,-73.6535999998
30,8930,BOUL,PIE-IX,,MTL,45.5777000003,-73.6173999999
31,7920,BOUL,ST-LAURENT,,MTL,45.5376999993,-73.6288999999
33,855,BOUL,CREMAZIE,E,MTL,45.5497999992,-73.6349999998
35,920,RUE,BELANGER,,MTL,45.5397999994,-73.6091
38,1033,RUE,RACHEL,E,MTL,45.5254999995,-73.5751999998
39,6100,BOUL,HENRI-BOURASSA,,MTN,45.6076999996,-73.6156000001
42,8181,BOUL,LACORDAIRE,,STL,45.5853000004,-73.5941000003
44,4807,RUE,MOLSON,,MTL,45.5424000006,-73.5692999996
45,8200,BOUL,MAURICE-DUPLESSIS,,MTL,45.6333000008,-73.5864000004
46,6850,BOUL,JOSEPH-RENAUD,,ANJ,45.6050000004,-73.5530000003
48,5646,RUE,HOCHELAGA,,MTL,45.5685,-73.5381
49,1498,BOUL,ST-JEAN-BAPTISTE,,MTL,45.6415999997,-73.5054000001
